N,R(ohm),t(us)
2,2.05742,31
3,2.49772,97
4,2.82749,291
5,3.09057,562
6,3.30919,964
7,3.49608,1705
8,3.65925,2815
9,3.80401,4461
10,3.93407,9703
11,4.05213,13442
12,4.16021,13331
13,4.25986,17968
14,4.35231,23200
15,4.43851,30681
16,4.51926,40176
17,4.5952,62986
18,4.66688,80401
19,4.73474,74443
20,4.79918,94487
21,4.86051,114002
22,4.91903,135061
23,4.97499,161739
24,5.02859,180890
25,5.08002,277056
26,5.12946,263869
27,5.17706,307110
28,5.22294,334234
29,5.26723,408309
30,5.31002,485770
31,5.35143,544898
32,5.39154,645862
